decade,word,tf
1550-1600,iacobi,1
1550-1600,iacqu,1
1550-1600,iaqu,1
1550-1600,ich,2
1550-1600,icon,1
1550-1600,idib,1
1550-1600,illustrant,1
1550-1600,illyricum,1
1550-1600,im,3
1550-1600,impressvm,1
1550-1600,imprint,41
1550-1600,includ,7
1550-1600,index,5
1550-1600,indic,1
1550-1600,infomnij,1
1550-1600,ingolstadii,1
1550-1600,initi,1
1550-1600,ink,3
1550-1600,inscript,12
1550-1600,insigni,1
1550-1600,ioanni,1
1550-1600,iohanni,1
1550-1600,ist,2
1550-1600,item,6
1550-1600,iuuenem,1
1550-1600,jacobi,2
1550-1600,jame,2
1550-1600,januarij,1
1550-1600,jar,3
1550-1600,jch,1
1550-1600,jeden,1
1550-1600,jerusalem,1
1550-1600,jesuit,1
1550-1600,jm,1
1550-1600,jnn,1
1550-1600,jo,1
1550-1600,johan,1
1550-1600,johann,4
1550-1600,john,2
1550-1600,joseph,1
1550-1600,judengassen,1
1550-1600,junckfrewelein,1
1550-1600,junij,1
1550-1600,kein,1
1550-1600,kirchen,1
1550-1600,kolophon,12
1550-1600,kornmarckt,1
1550-1600,krafft,1
1550-1600,la,1
1550-1600,last,3
1550-1600,lat,4
1550-1600,late,1
1550-1600,later,1
1550-1600,le,1
1550-1600,leaf,4
1550-1600,left,1
1550-1600,legend,1
1550-1600,lehr,1
1550-1600,leib,1
1550-1600,leichenpredigt,1
1550-1600,leipzig,3
1550-1600,leydt,1
1550-1600,lib,1
1550-1600,libeat,1
1550-1600,librari,2
1550-1600,librum,1
1550-1600,lieb,3
1550-1600,lieder,1
1550-1600,liedt,1
1550-1600,lipsia,1
1550-1600,londini,1
1550-1600,lottherum,1
1550-1600,lufftij,1
1550-1600,lvgdvni,2
1550-1600,lxxiii,1
1550-1600,lyon,1
1550-1600,mag,1
1550-1600,magdeburgi,1
1550-1600,maiestet,1
1550-1600,maii,1
1550-1600,malsburg,1
1550-1600,mancel,1
1550-1600,manuscript,9
1550-1600,maria,1
1550-1600,martinum,2
1550-1600,mattheu,1
1550-1600,matthiam,1
1550-1600,mayn,1
1550-1600,mei,1
1550-1600,mein,1
1550-1600,melro,3
1550-1600,mens,1
1550-1600,menschen,2
1550-1600,mesen,1
1550-1600,meyer,1
1550-1600,michaelem,1
1550-1600,michel,2
1550-1600,microfich,3
1550-1600,mikrofich,43
1550-1600,millangium,1
1550-1600,millangiv,1
1550-1600,mir,2
1550-1600,mit,1
1550-1600,mite,1
1550-1600,motto,1
1550-1600,mount,1
1550-1600,nach,2
1550-1600,name,1
1550-1600,nation,1
1550-1600,neuber,1
1550-1600,newber,3
1550-1600,nicht,1
1550-1600,nicolaum,1
1550-1600,niuellium,1
1550-1600,noch,1
1550-1600,note,2
1550-1600,nuc,2
1550-1600,number,5
1550-1600,nun,1
1550-1600,obscur,1
1550-1600,officina,5
1550-1600,oliva,1
1550-1600,one,1
1550-1600,order,1
1550-1600,origin,40
1550-1600,otto,1
1550-1600,ownership,5
1550-1600,page,17
1550-1600,panel,1
1550-1600,papa,1
1550-1600,par,3
1550-1600,para,1
1550-1600,pari,3
1550-1600,parisien,1
1550-1600,parisii,5
1550-1600,part,6
1550-1600,past,3
1550-1600,pastedown,3
1550-1600,paul,1
1550-1600,paw,1
1550-1600,pegao,1
1550-1600,per,2
1550-1600,perhap,1
1550-1600,peter,1
1550-1600,pfalz,1
1550-1600,ph,1
1550-1600,philip,1
1550-1600,piu,1
1550-1600,place,1
1550-1600,plantini,2
1550-1600,plantinv,1
1550-1600,plate,2
1550-1600,portrait,3
1550-1600,postal,1
1550-1600,praecedentem,1
1550-1600,pre,1
1550-1600,preced,1
1550-1600,prefac,1
1550-1600,present,1
1550-1600,pretium,1
1550-1600,preuost,1
1550-1600,print,1
1550-1600,printer,1
1550-1600,pritzel,1
1550-1600,priu,1
1550-1600,programmat,5
1550-1600,project,5
1550-1600,prototypographi,1
1550-1600,psalmen,1
1550-1600,psalmo,1
1550-1600,pt,2
1550-1600,qd,1
1550-1600,quatrefoil,1
1550-1600,raben,1
1550-1600,rdi,1
1550-1600,read,4
1550-1600,rechten,1
1550-1600,record,5
1550-1600,recto,4
1550-1600,refer,1
1550-1600,reflex,1
1550-1600,regii,1
1550-1600,regij,1
1550-1600,region,1
1550-1600,regium,1
1550-1600,regiv,2
1550-1600,reproduct,1
1550-1600,rev,1
1550-1600,richtig,2
1550-1600,right,2
1550-1600,ring,1
1550-1600,ro,1
1550-1600,rob,2
1550-1600,robertv,1
1550-1600,roger,1
1550-1600,rome,1
1550-1600,rot,1
1550-1600,rue,2
1550-1600,saint,1
1550-1600,saintlo,1
1550-1600,saluti,1
1550-1600,sartorivm,1
1550-1600,saur,44
1550-1600,scalig,1
1550-1600,schmalkalden,2
1550-1600,schmuck,2
1550-1600,schrift,2
1550-1600,scotland,1
1550-1600,sebastianum,1
1550-1600,sein,1
1550-1600,sendbrieff,1
1550-1600,separ,2
1550-1600,septemb,1
1550-1600,sequuntur,1
1550-1600,servic,1
1550-1600,set,1
1550-1600,sever,1
